"TYPE","MONTH","DAY","HOUR","longitude","latitude","WEEKDAY"
"Mischief",10,18,12,-123.043041381054,49.2801643206394,"Wednesday"
"Break and Enter Residential/Other",12,1,10,-123.096639906034,49.2840025494859,"Friday"
"Theft from Vehicle",2,12,18,-123.038725044803,49.2328551540928,"Sunday"
"Theft from Vehicle",2,9,0,-123.038725044803,49.2328551540928,"Thursday"
"Theft from Vehicle",10,23,6,-123.101452260301,49.2329914246654,"Monday"
"Theft from Vehicle",7,5,15,-123.170219556616,49.2338653213951,"Wednesday"
"Theft from Vehicle",6,20,13,-123.170219556616,49.2338653213951,"Tuesday"
"Theft from Vehicle",5,18,23,-123.034466307243,49.2318654062404,"Thursday"
"Mischief",11,23,17,-123.043860470523,49.2405169084372,"Thursday"
"Theft from Vehicle",1,5,8,-123.119305061764,49.2857135718064,"Thursday"
"Mischief",11,16,12,-123.121083896172,49.2779218972428,"Thursday"
"Theft from Vehicle",12,17,22,-123.040185490613,49.2327169379809,"Sunday"
"Theft from Vehicle",11,30,22,-123.040185490613,49.2327169379809,"Thursday"
"Theft from Vehicle",2,26,23,-123.134782081688,49.2336740879443,"Sunday"
"Break and Enter Residential/Other",6,16,17,-123.105550022923,49.2637379463813,"Friday"
"Theft from Vehicle",3,14,17,-123.099929746605,49.2767628595431,"Tuesday"
"Theft from Vehicle",1,13,16,-123.12712459307,49.2665703115304,"Friday"
"Theft from Vehicle",12,23,15,-123.127075420779,49.266584488089,"Saturday"
"Break and Enter Residential/Other",5,5,15,-123.105521989022,49.2646427996625,"Friday"
"Break and Enter Residential/Other",9,22,8,-123.105785314599,49.2527341553192,"Friday"
"Theft from Vehicle",5,7,2,-123.100007460921,49.2763729409704,"Sunday"
"Theft of Bicycle",8,3,16,-123.110918827123,49.2847082599545,"Thursday"
"Theft from Vehicle",12,22,18,-123.139685751512,49.2342867763225,"Friday"
"Theft from Vehicle",10,3,12,-123.090491106183,49.2327653049444,"Tuesday"
"Theft from Vehicle",9,19,18,-123.090491106183,49.2327653049444,"Tuesday"
"Theft of Bicycle",2,17,19,-123.116191351764,49.2812131301819,"Friday"
"Theft from Vehicle",11,2,17,-123.048849284444,49.2326354305633,"Thursday"
"Theft from Vehicle",6,13,15,-123.185262015243,49.2347548359961,"Tuesday"
"Theft from Vehicle",9,22,22,-123.105595176144,49.2807097644253,"Friday"
"Theft of Bicycle",4,23,14,-123.116191351764,49.2812131301819,"Sunday"
"Theft from Vehicle",4,22,17,-123.099929746605,49.2767628595431,"Saturday"
"Theft from Vehicle",12,31,19,-123.102183961809,49.2832411057901,"Sunday"
"Theft from Vehicle",12,18,21,-123.102183961809,49.2832411057901,"Monday"
